GEOID,population
39001770100,4516.0
39001770200,4837.0
39001770301,3855.0
39001770302,3528.0
39001770400,4295.0
39001770500,3578.0
39001770600,2955.0
39003010100,4124.0
39003010200,4151.0
39003010300,1542.0
39003010600,4910.0
39003010801,4399.0
39003010802,3623.0
39003010900,4506.0
39003011000,5221.0
39003011200,2960.0
39003011301,4236.0
39003011302,2900.0
39003011400,3065.0
39003011500,2724.0
39003011600,2826.0
39003011800,2371.0
39003011900,2931.0
39003012000,2524.0
39003012100,3347.0
39003012200,3540.0
39003012300,4040.0
39003012400,2037.0
39003012600,1826.0
39003012700,1447.0
39003012900,1725.0
39003013000,4386.0
39003013100,2581.0
39003013200,2081.0
39003013300,1241.0
39003013400,2589.0
39003013600,1162.0
39003013700,996.0
39003013800,2450.0
39003013900,3352.0
39003014000,3232.0
39003014100,1417.0
39005970101,2501.0
39005970102,6025.0
39005970200,6527.0
39005970300,3877.0
39005970400,3574.0
39005970500,3207.0
39005970600,5063.0
39005970700,4949.0
39005970800,3749.0
39005970900,4474.0
39005971000,4968.0
39005971100,3744.0
39007000101,4509.0
39007000102,3189.0
39007000103,3303.0
39007000200,4104.0
39007000300,2231.0
39007000400,1450.0
39007000500,4256.0
39007000601,2910.0
39007000602,3616.0
39007000603,4111.0
39007000701,3039.0
39007000702,2617.0
39007000703,3266.0
39007000704,3741.0
39007000801,1533.0
39007000802,4798.0
39007000900,4255.0
39007001001,5434.0
39007001002,3759.0
39007001101,1877.0
39007001102,5964.0
39007001201,3816.0
39007001202,4004.0
39007001301,3267.0
39007001303,2996.0
39007001304,1083.0
39007001401,4003.0
39007001402,4738.0
39007990000,0.0
39009972600,3686.0
39009972700,3680.0
39009972800,4042.0
39009972900,5913.0
39009973000,3704.0
39009973101,4164.0
39009973200,4649.0
39009973300,3866.0
39009973400,3430.0
39009973500,3262.0
39009973600,4042.0
39009973700,4331.0
39009973800,4644.0
39009973901,5999.0
39009973902,3521.0
39011040100,3835.0
39011040200,4349.0
39011040300,3733.0
39011040400,6534.0
39011040500,5179.0
39011040600,4074.0
39011040900,3728.0
39011041000,3968.0
39011041100,3891.0
39011041201,1745.0
39011041202,5246.0
39013010100,4216.0
39013010200,3054.0
39013010300,3603.0
39013010600,4016.0
39013010700,2437.0
39013010802,2203.0
39013010901,1642.0
39013010902,4998.0
39013011000,4604.0
39013011200,3158.0
39013011300,3879.0
39013011400,4348.0
39013011500,1640.0
39013011600,1079.0
39013011700,1208.0
39013011900,2851.0
39013012000,2122.0
39013012100,1449.0
39013012201,1673.0
39013012202,4578.0
39013012300,4103.0
39013012400,4216.0
39015951201,4404.0
39015951202,5337.0
39015951301,4876.0
39015951302,2594.0
39015951400,4763.0
39015951500,5223.0
39015951600,3253.0
39015951700,2450.0
39015951800,4844.0
39015951900,5950.0
39017000100,5043.0
39017000200,4193.0
39017000300,3113.0
39017000400,4349.0
39017000500,4566.0
39017000600,4866.0
39017001001,5479.0
39017001002,5044.0
39017001100,4242.0
39017001300,4765.0
39017010102,2854.0
39017010103,5493.0
39017010104,4800.0
39017010105,4197.0
39017010106,3080.0
39017010201,1869.0
39017010202,5366.0
39017010203,5372.0
39017010301,4493.0
39017010302,3528.0
39017010500,2479.0
39017010600,3417.0
39017010800,6883.0
39017010901,4248.0
39017010903,6129.0
39017010904,4003.0
39017010906,7568.0
39017010907,3020.0
39017010909,5150.0
39017010910,4504.0
39017010911,3844.0
39017010912,2506.0
39017010913,3088.0
39017011003,7158.0
39017011004,6759.0
39017011005,6636.0
39017011006,5395.0
39017011109,4623.0
39017011110,6256.0
39017011111,6106.0
39017011112,6564.0
39017011118,3616.0
39017011120,8528.0
39017011122,5855.0
39017011123,5354.0
39017011125,3640.0
39017011126,5351.0
39017011127,4653.0
39017011128,2887.0
39017011129,4948.0
39017011130,4688.0
39017011131,3328.0
39017011132,3971.0
39017011133,4204.0
39017011134,6971.0
39017011135,6914.0
39017011136,5668.0
39017011137,3660.0
39017011200,9028.0
39017011300,6771.0
39017011800,6058.0
39017012100,2899.0
39017012200,3170.0
39017012300,2070.0
39017012400,2623.0
39017012500,5169.0
39017012600,2426.0
39017012700,3347.0
39017013000,1725.0
39017013100,2122.0
39017013200,3650.0
39017013300,2276.0
39017013400,1976.0
39017013500,2706.0
39017013600,4861.0
39017013900,2577.0
39017014000,2566.0
39017014100,2349.0
39017014300,5135.0
39017014400,2228.0
39017014600,965.0
39017014700,4416.0
39017014800,7572.0
39017014900,5356.0
39017015000,6874.0
39017015100,7631.0
39019720100,2891.0
39019720200,3174.0
39019720300,5160.0
39019720400,4323.0
39019720500,5490.0
39019720600,2937.0
39019720700,2891.0
39021010100,1940.0
39021010200,6562.0
39021010400,3505.0
39021010500,3781.0
39021010600,3898.0
39021011001,2687.0
39021011501,4469.0
39021011504,5437.0
39021011505,3287.0
39021011506,3112.0
39023000200,1710.0
39023000300,1414.0
39023000400,2469.0
39023000500,1657.0
39023000600,3029.0
39023000700,2406.0
39023000901,1908.0
39023000902,1178.0
39023001000,1563.0
39023001101,1141.0
39023001102,3003.0
39023001200,4194.0
39023001300,3906.0
39023001400,4466.0
39023001500,4499.0
39023001600,3735.0
39023001700,2064.0
39023001900,2845.0
39023002000,2039.0
39023002100,1826.0
39023002200,4263.0
39023002301,3137.0
39023002403,3532.0
39023002404,3439.0
39023002501,2109.0
39023002502,3462.0
39023002601,4068.0
39023002602,3676.0
39023002605,4133.0
39023002607,3733.0
39023002608,3940.0
39023002701,3050.0
39023002702,2477.0
39023002800,4434.0
39023002901,3607.0
39023002902,4507.0
39023003001,3110.0
39023003002,3578.0
39023003101,2663.0
39023003102,1593.0
39023003200,2688.0
39023003301,3631.0
39023003302,2512.0
39023003400,3052.0
39023003700,4586.0
39025040101,5067.0
39025040102,2703.0
39025040202,2294.0
39025040203,6327.0
39025040205,3062.0
39025040206,4410.0
39025040301,3709.0
39025040302,3591.0
39025040303,7511.0
39025040401,4035.0
39025040403,2789.0
39025040404,3845.0
39025040405,3443.0
39025040500,4956.0
39025040600,7298.0
39025040702,4789.0
39025040703,3047.0
39025040704,3593.0
39025040800,5707.0
39025040900,5680.0
39025041001,5211.0
39025041002,3171.0
39025041101,3655.0
39025041102,5616.0
39025041104,3800.0
39025041105,5686.0
39025041201,4333.0
39025041202,4992.0
39025041303,5226.0
39025041304,0.0
39025041305,4816.0
39025041306,5493.0
39025041307,4808.0
39025041403,4241.0
39025041404,5127.0
39025041405,4935.0
39025041406,5388.0
39025041503,4803.0
39025041504,4014.0
39025041505,3463.0
39025041506,2771.0
39025041600,5619.0
39025041701,3880.0
39025041702,3734.0
39025041800,3681.0
39025041900,5535.0
39025042001,3469.0
39025042002,2327.0
39027964300,3559.0
39027964400,5320.0
39027964501,3076.0
39027964502,2860.0
39027964600,2722.0
39027964700,5877.0
39027964800,5315.0
39027964900,5188.0
39027965000,3921.0
39027965100,4208.0
39029950100,5202.0
39029950200,4680.0
39029950300,5271.0
39029950400,4275.0
39029950500,5620.0
39029950600,5203.0
39029950700,5375.0
39029950800,3950.0
39029950900,3679.0
39029951000,5717.0
39029951100,4243.0
39029951200,4278.0
39029951300,3937.0
39029951401,2710.0
39029951402,4388.0
39029951500,4821.0
39029951600,5481.0
39029951700,4876.0
39029951800,2939.0
39029951900,3080.0
39029952000,3058.0
39029952100,1124.0
39029952200,1849.0
39029952300,2458.0
39029952400,4117.0
39031960900,5062.0
39031961000,4803.0
39031961100,4456.0
39031961200,3083.0
39031961300,3529.0
39031961400,2807.0
39031961500,2518.0
39031961600,2623.0
39031961700,2634.0
39031961800,5106.0
39033974100,3542.0
39033974200,3844.0
39033974300,2879.0
39033974400,2909.0
39033974500,3728.0
39033974600,2807.0
39033974700,4158.0
39033974800,2162.0
39033974900,3157.0
39033975000,3629.0
39033975100,3385.0
39033975200,2435.0
39033975300,3304.0
39035101101,2115.0
39035101102,4413.0
39035101201,2658.0
39035101300,1622.0
39035101400,1884.0
39035101501,2075.0
39035101603,2510.0
39035101700,3049.0
39035101800,2358.0
39035101901,1453.0
39035102101,3396.0
39035102102,3103.0
39035102200,3212.0
39035102300,1966.0
39035102401,2049.0
39035102402,3395.0
39035102700,3813.0
39035102800,1637.0
39035102900,1910.0
39035103300,2343.0
39035103500,1394.0
39035103602,3323.0
